ActualYear,Value
1961,7977000
1962,7970000
1963,7926000
1964,7894000
1965,7857000
1966,7810000
1967,7761000
1968,7693000
1969,7619000
1970,7530000
1971,7529400
1972,7442800
1973,7362400
1974,7263600
1975,7179000
1976,7089100
1977,7012000
1978,6946800
1979,6887600
1980,6850600
1981,6805600
1982,6765100
1983,6753000
1984,6754700
1985,6767000
1986,6774200
1987,6765600
1988,6729300
1989,6751600
1990,6798800
1991,6829300
1992,6829400
1993,6844500
1994,6873500
1995,6913100
1996,6974400
1997,7014800
1998,7065500
1999,7153900
2000,7236700
2001,7322400
2002,7376700
2003,7394800
2004,7432700
2005,7519000
2006,7597800
2007,7693500
2008,7812200
2009,7942600
2010,8061500
2011,8204400
2012,8308400
2013,8416500
2014,8538700
2015,8673713
